INFO:main.py:line 10:  Initiated program
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): google.com:443
DEBUG:connectionpool.py:line 437:  https://google.com:443 "GET //intl/en/about.html HTTP/1.1" 301 238
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): www.google.com:443
DEBUG:connectionpool.py:line 437:  https://www.google.com:443 "GET /intl/en/about.html HTTP/1.1" 301 234
DEBUG:connectionpool.py:line 437:  https://www.google.com:443 "GET /intl/en/about/ HTTP/1.1" 301 226
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): about.google:443
DEBUG:connectionpool.py:line 437:  https://about.google:443 "GET /intl/en/ HTTP/1.1" 200 78090
URL-UPDATE:main.py:line 83:  Finished gathering for https://google.com//intl/en/about.html.
INFO:main.py:line 150:  Start get URLS for https://google.com//intl/en/about.html
INFO:main.py:line 166:  End get URLS for https://google.com//intl/en/about.html
DEPTH-CHANGE:main.py:line 200:  Changed by -1. From 1 to 0.
DEPTH-CHANGE:main.py:line 191:  Changed by +1. From 0 to 1.
URL-UPDATE:main.py:line 56:  Started gathering for https://google.com//intl/en/policies/privacy/.
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): google.com:443
DEBUG:connectionpool.py:line 437:  https://google.com:443 "GET //intl/en/policies/privacy/ HTTP/1.1" 301 245
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): www.google.com:443
DEBUG:connectionpool.py:line 437:  https://www.google.com:443 "GET /intl/en/policies/privacy/ HTTP/1.1" 200 1187
URL-UPDATE:main.py:line 83:  Finished gathering for https://google.com//intl/en/policies/privacy/.
INFO:main.py:line 150:  Start get URLS for https://google.com//intl/en/policies/privacy/
INFO:main.py:line 166:  End get URLS for https://google.com//intl/en/policies/privacy/
DEPTH-CHANGE:main.py:line 200:  Changed by -1. From 1 to 0.
DEPTH-CHANGE:main.py:line 191:  Changed by +1. From 0 to 1.
URL-UPDATE:main.py:line 56:  Started gathering for https://google.com//intl/en/policies/terms/.
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): google.com:443
DEBUG:connectionpool.py:line 437:  https://google.com:443 "GET //intl/en/policies/terms/ HTTP/1.1" 301 243
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): www.google.com:443
DEBUG:connectionpool.py:line 437:  https://www.google.com:443 "GET /intl/en/policies/terms/ HTTP/1.1" 200 1117
URL-UPDATE:main.py:line 83:  Finished gathering for https://google.com//intl/en/policies/terms/.
INFO:main.py:line 150:  Start get URLS for https://google.com//intl/en/policies/terms/
INFO:main.py:line 166:  End get URLS for https://google.com//intl/en/policies/terms/
DEPTH-CHANGE:main.py:line 200:  Changed by -1. From 1 to 0.
